ID;QALD;IDS SPARQL;Keywords Extracted;instrTree.txt;instrPath;Longest QT-Path;Precision;Recall;F1-Score;Nb Call;Runtime
3;among the founders of tencent company, who has been member of national people's congress?;undefined;founders(undefined),tencent company(NE),member(undefined),national people congress(NE);;tencent company (NE),founders;tencent company (match),founded by;0.2;1;0.33333333333333337;95;699765
9;At which school was Yayoi Kusama educated at?;undefined;school(undefined),Yayoi Kusama(NE),educated(undefined);;Yayoi Kusama (NE),educated;Yayoi Kusama (match),educated at;1;1;1;5;79926
10;Which High School did Allen Ginsberg attend?;undefined;High School(undefined),Allen Ginsberg(NE),attend(undefined);;;;0;0;0;108;969898
36;In which manner did Hemingway die?;undefined;manner(undefined),Hemingway(NE),die(undefined);;Hemingway (NE),manner;Hemingway (match),manner of death;1;1;1;3;343544
39;How high is the Cologne Cathedral ?;undefined;Cologne Cathedral(NE);;;;0;0;0;2;6977
125;In which federal state is the Veltins brewery headquarter?;undefined;state(undefined),Veltins brewery(undefined);;;;0;0;0;1;5692
126;In which stadium do the New York Yankees play?;undefined;stadium(undefined),New York Yankees(NE),play(undefined);;New York Yankees (NE),stadium;New York Yankees (match),home venue;1;1;1;38;452614
127;In which countries is the Himalayas located?;undefined;countries(undefined),Himalayas(NE),located(undefined);;Himalayas (NE),countries;Himalayas (match),country;1;1;1;11;135727
130;In which country did the United Fruit Company have their headquarters?;undefined;country(undefined),United Fruit Company(NE),headquarters(undefined);;United Fruit Company (NE),country,headquarters;United Fruit Company (match),country,headquarters location;0;0;0;4;294609
133;In which country was Spotify created?;undefined;country(undefined),Spotify(NE),created(undefined);;Spotify (NE),created,country;Spotify (match),creator,country;1;1;1;4;91542
139;In which year was the author of “The Vanishing Half” born?;undefined;year(undefined),author(undefined),The Vanishing Half”(NE),born(undefined);;;;0;0;0;501;12658690
163;Of which political party was Joseph Beuys a member?;undefined;party(undefined),Joseph Beuys(NE),member(undefined);;Joseph Beuys (NE),member;Joseph Beuys (match),member of political party;1;1;1;4;149339
164;In what year did the Hollywood Walk of Fame open?;undefined;year(undefined),Hollywood Walk of Fame(NE);;;;0;0;0;22;165222
165;on which video streaming services can i watch hunter x hunter anime series?;undefined;video streaming services(undefined),watch(undefined),hunter x hunter anime series(undefined);;;;0;0;0;1;7754
167;In what year did the district of Höxter come into existence?;undefined;year(undefined),district(undefined),Höxter(NE),come(undefined),existence(undefined);;;;0;0;0;336;5728901
171;Tell me all the cast members of the film Red Notice directed by Rawson Marshall Thurber ?;undefined;Tell(undefined),cast members(undefined),film Red Notice(undefined),directed(undefined),Rawson Marshall Thurber(NE);;Rawson Marshall Thurber (NE),directed,cast members;Rawson Marshall Thurber (match),producer,cast member;0.35;1;0.5185185185185185;544;5412369
173;Through which countries does the Danube go?;undefined;countries(undefined),Danube(NE),go(undefined);;Danube (NE),countries,go;Danube (match),country,GitHub topic;0;0;0;165;8344758
174;What do sperm whales mainly eat?;undefined;sperm whales(undefined),eat(undefined);;;;0;0;0;63;886492
184;Which river flows through the Grand Canyon?;undefined;river(undefined),flows(undefined),Grand Canyon(NE);;river,flows;reservoir,inflows;0.0125;1;0.02469135802469136;357;7654444
185;What was the key event related to Salvador Dalí?;undefined;event(undefined),related(undefined),Salvador Dalí(NE);;Salvador Dalí (NE),event;Salvador Dalí (match),significant event;1;1;1;11;283246
189;What are the professions of John Lennon's sons?;undefined;professions(undefined),John Lennon(NE),sons(undefined);;John Lennon (NE),sons,professions;John Lennon (match),father,occupation;1;1;1;7;172822
192;What colors does the German national flag have?;undefined;colors(undefined),German(NE),flag(undefined);;German (NE),flag,colors;German (match),flag,color;0.75;1;0.8571428571428571;18;722482
198;What instruments did Louis Armstrong play?;undefined;instruments(undefined),Louis Armstrong(NE),play(undefined);;Louis Armstrong (NE),play;Louis Armstrong (match),instrument;1;1;1;11;793094
